t	I
77.096208	0.096167
77.172503	0.114166
77.248798	0.126753
77.325093	0.138366
77.401389	0.156787
77.477684	0.168884
77.553979	0.176007
77.630274	0.18843
77.706569	0.194233
77.782864	0.19362
77.859159	0.199556
77.935454	0.202614
78.011749	0.204271
78.088045	0.221286
78.16434	0.248312
78.240635	0.29436
78.31693	0.384135
78.393225	0.518027
78.46952	0.718402
78.545815	1.019156
78.62211	1.41732
78.698405	1.927223
78.774701	2.55169
78.850996	3.225099
78.927291	3.875213
79.003586	4.408416
79.079881	4.696361
79.156176	4.668961
79.232471	4.34285
79.308766	3.78708
79.385061	3.10478
79.461357	2.419133
79.537652	1.811148
79.613947	1.30621
79.690242	0.924715
79.766537	0.658602
79.842832	0.477464
79.919127	0.369443
79.995422	0.314294
80.071717	0.290613
80.148013	0.293174
80.224308	0.309392
80.300603	0.331521
80.376898	0.359826
80.453193	0.388074
80.529488	0.41645
80.605783	0.445253
80.682078	0.470249
80.758373	0.495593
80.834668	0.52081
80.910964	0.542681
80.987259	0.56753
81.063554	0.593916
81.139849	0.618645
81.216144	0.648229
81.292439	0.679731
81.368734	0.709783
81.445029	0.744531
81.521324	0.782317
81.59762	0.824062
81.673915	0.876064
81.75021	0.938442
81.826505	1.017512
81.9028	1.119678
81.979095	1.247222
82.05539	1.40648
82.131685	1.596086
82.20798	1.812434
82.284276	2.047249
82.360571	2.280207
82.436866	2.493045
82.513161	2.656804
82.589456	2.74496
82.665751	2.747886
82.742046	2.652072
82.818341	2.467974
82.894636	2.220862
82.970932	1.924991
83.047227	1.613216
83.123522	1.31156
83.199817	1.028322
83.276112	0.781575
83.352407	0.575165
83.428702	0.403656
83.504997	0.270892
83.581292	0.171579
83.657588	0.098521
83.733883	0.049874
83.810178	0.019773
83.886473	0.004292
83.962768	0.001309
84.039063	0.007641
84.115358	0.021133
84.191653	0.038786
84.267948	0.059967
84.344244	0.083259
84.420539	0.104443
84.496834	0.124487
84.573129	0.14308
84.649424	0.157048
84.725719	0.168822
84.802014	0.177817
84.878309	0.180576
84.954604	0.180191
85.0309	0.177579
85.107195	0.170517
85.18349	0.161196
85.259785	0.150653
85.33608	0.138396
85.412375	0.126956
85.48867	0.117656
85.564965	0.109414
85.64126	0.102293
85.717556	0.097677
85.793851	0.096845
85.870146	0.100267
85.946441	0.108103
86.022736	0.120274
86.099031	0.134835
86.175326	0.150732
86.251621	0.170137
86.327916	0.191964
86.404211	0.214156
86.480507	0.239403
86.556802	0.265985
86.633097	0.293498
86.709392	0.32898
86.785687	0.371928
86.861982	0.426153
86.938277	0.502215
87.014572	0.601102
87.090867	0.735844
87.167163	0.918298
87.243458	1.147532
87.319753	1.438749
87.396048	1.785427
87.472343	2.169055
87.548638	2.581358
87.624933	2.964045
87.701228	3.268285
87.777523	3.46111
87.853819	3.477681
87.930114	3.326681
88.006409	3.039652
88.082704	2.633896
88.158999	2.190532
88.235294	1.75573
88.311589	1.344767
88.387884	0.999094
88.464179	0.716899
88.540475	0.488561
88.61677	0.322565
88.693065	0.202876
88.76936	0.117511
88.845655	0.063903
88.92195	0.030335
88.998245	0.010856
89.07454	0.002634
89.150835	0.000693
89.227131	0.002935
89.303426	0.006873
89.379721	0.010882
89.456016	0.014985
89.532311	0.017985
89.608606	0.019495
89.684901	0.020337
89.761196	0.019665
89.837491	0.017255
89.913787	0.014894
89.990082	0.012189
90.066377	0.008832
90.142672	0.006342
90.218967	0.00412
90.295262	0.002265
90.371557	0.001708
90.447852	0.001792
90.524147	0.003235
90.600443	0.005839
90.676738	0.009227
90.753033	0.01438
90.829328	0.019924
90.905623	0.026468
90.981918	0.034401
91.058213	0.041268
91.134508	0.048978
91.210803	0.056284
91.287098	0.060201
91.363394	0.064537
91.439689	0.06685
91.515984	0.06475
91.592279	0.063219
91.668574	0.058765
91.744869	0.049748
91.821164	0.042023
91.897459	0.033677
91.973754	0.024434
92.05005	0.019511
92.126345	0.020455
92.20264	0.028058
92.278935	0.045931
92.35523	0.080242
92.431525	0.130603
92.50782	0.198257
92.584115	0.295042
92.66041	0.417074
92.736706	0.559334
92.813001	0.733409
92.889296	0.926857
92.965591	1.126257
93.041886	1.3409
93.118181	1.554511
93.194476	1.749631
93.270771	1.934401
93.347066	2.098927
93.423362	2.236069
93.499657	2.369916
93.575952	2.506045
93.652247	2.63595
93.728542	2.772477
93.804837	2.896817
93.881132	2.973385
93.957427	2.99785
94.033722	2.939358
94.110018	2.777561
94.186313	2.536491
94.262608	2.224775
94.338903	1.870729
94.415198	1.515786
94.491493	1.17743
94.567788	0.879528
94.644083	0.633251
94.720378	0.434552
94.796674	0.286113
94.872969	0.181019
94.949264	0.110275
95.025559	0.070737
95.101854	0.05444
95.178149	0.052382
95.254444	0.059893
95.330739	0.074291
95.407034	0.088724
95.48333	0.099909
95.559625	0.110654
95.63592	0.115958
95.712215	0.114531
95.78851	0.112292
95.864805	0.105411
95.9411	0.093978
96.017395	0.084706
96.09369	0.07448
96.169986	0.062859
96.246281	0.055849
96.322576	0.052026
96.398871	0.049094
96.475166	0.050363
96.551461	0.055544
96.627756	0.061323
96.704051	0.070442
96.780346	0.084237
96.856641	0.098081
96.932937	0.114245
97.009232	0.13559
97.085527	0.156831
97.161822	0.179804
97.238117	0.206783
97.314412	0.231571
97.390707	0.257649
97.467002	0.287551
97.543297	0.316429
97.619593	0.350794
